"name","rank","industry","headquarters_state","year","headquarters_city","revenue_percent_change","profits_percent_change","total_shareholder_equity","profit_percent_sales","profit_percent_assets","profit_percent_shareholder_equity","stockholders_equity","profit_as_a_percent_of_sales","profit_as_a_percent_of_assets","profit_as_a_percent_of_shareholder_equity","gained_in_rank","dropped_in_rank","newcomer","profitable","founder_is_ceo","foreign_born_ceo","female_ceo","growth_in_jobs","sector","employees","newcomer_to_the_fortune_500","global_500","best_companies","worlds_most_admired_companies","change_the_world","fastest_growing_companies","change_in_rank_full_1000","change_in_rank_500_only","measure_up","measure_up_rank","profit_mil","asset_mil","revenue_mil","market_value_mil"
"General Motors Corporation",1,"Motor Vehicles & Parts","MI",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168828.6,
"Ford Motor Company",2,"Motor Vehicles & Parts","MI",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137137,
"Exxon Corporation",3,"Petroleum Refining","TX",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110009,
"Wal-Mart Stores, Inc.",4,"General Merchandisers","AR",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93627,
"AT&T Corp.",5,"Telecommunications","NY",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79609,
"International Business Machines Corporation",6,"Computers, Office Equipment","NY",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71940,
"General Electric Company",7,"Electronics, Electrical Equipment","CT",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70028,
"Mobil Corporation",8,"Petroleum Refining","VA",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66724,
"Chrysler Corporation",9,"Motor Vehicles & Parts","MI",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53195,
"Philip Morris Companies",10,"Tobacco","NY",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53139,
"Prudential Insurance Company of America",11,"Insurance: Life, Health (Mutual)","NJ",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41330,
"State Farm Group",12,"Insurance: Property and Casualty (Mutual)","IL",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40809.9,
"E.I. Du Pont de Nemours and Company, Inc.",13,"Chemicals","DE",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37607,
"Texaco, Inc.",14,"Petroleum Refining","NY",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36787,
"Sears, Roebuck & Company",15,"General Merchandisers","IL",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35181,
"Kmart Corporation",16,"General Merchandisers","MI",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34654,
"The Procter & Gamble Company",17,"Soaps, Cosmetics","OH",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33434,
"Chevron Corporation",18,"Petroleum Refining","CA",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32094,
"Citicorp",19,"Commercial Banks","NY",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31690,
"Hewlett-Packard Company",20,"Computers, Office Equipment","CA",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31519,
"PepsiCo, Inc.",21,"Food Services","NY",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30421,
"Metropolitan Life Insurance Co.",22,"Insurance: Life, Health (Mutual)","NY",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27977,
"Amoco Corporation",23,"Petroleum Refining","IL",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27665,
"Motorola, Inc.",24,"Electronics, Electrical Equipment","IL",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27037,
"American International Group,Inc.",25,"Insurance: Property and Casualty (Stock)","NY",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25874,
"ConAgra, Inc.",26,"Food","NE",1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24108.9,
